cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 22.11115,Extrapolation: Pe: -1.5 - -1.25; 3.75 - 6
idle,5.95534,0.1406479,0.2413937,0.1616896,1.11E+14,3.26342
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,1.8106,0.1140485,0.3899072,0.1578594,1.86E+14,1.028107
-0.75,3.51163,0.2084584,0.8743084,0.3038903,3.63E+14,1.98543
-0.5,6.389799,0.3229104,1.062626,0.438556,5.73E+14,3.632768
-0.25,9.399384,0.4154986,0.844896,0.5310611,7.27E+14,5.378731
0,12.03175,0.4185574,0.7594641,0.5656357,7.72E+14,6.873875
0.25,19.22764,0.5726808,1.368716,0.8483028,1.17E+15,11.00196
0.5,30.78983,0.6917911,1.977875,1.225236,1.63E+15,17.84461
0.75,44.01824,0.7626554,2.612527,1.687364,2.14E+15,25.59621
1,66.45253,0.8137084,2.968721,2.221274,2.83E+15,39.10237
1.25,81.7254,0.8343465,3.192058,2.407159,3.09E+15,47.86955
1.5,111.2948,0.9483307,3.222644,2.798034,3.77E+15,66.01514
1.75,130.983,0.9917992,3.103828,2.876693,4.16E+15,77.40793
2,155.5134,0.9762785,3.366468,2.696024,4.13E+15,90.57925
2.25,210.9117,0.9075134,4.5983105,2.965473,4.37E+15,119.3683
2.5,220.5246,1.006408,5.830153,3.234922,4.62E+15,125.0741
2.75,258.9931,1.087851,5.325302,3.504371,4.86E+15,148.5889
3,279.6105,1.318822,5.325302,3.77382,5.10E+15,164.0854
3.25,281.7131,1.479041,5.325302,5.258993,6.24E+15,166.602
3.5,300.451,1.598447,5.325302,6.99257,7.02E+15,179.9282
3.75,321.9117,1.712622,5.325302,7.49204,7.52E+15,192.7802
4,343.3725,1.826797,5.325302,7.991509,8.02E+15,205.6322
4.25,364.8333,1.940972,5.325302,8.490978,8.52E+15,218.4842
4.5,386.2941,2.055147,5.325302,8.990448,9.02E+15,231.3362
4.75,407.7549,2.169322,5.325302,9.489918,9.53E+15,244.1882
5,429.2157,2.283496,5.325302,9.989388,1.00E+16,257.0402
5.25,450.6765,2.397671,5.325302,10.48886,1.05E+16,269.8922
5.5,472.1372,2.511846,5.325302,10.98833,1.10E+16,282.7443
5.75,493.598,2.626021,5.325302,11.4878,1.15E+16,295.5963
6,515.0588,2.740196,5.325302,11.98727,1.20E+16,308.4483
