cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 19.39067,Extrapolation: Pe: -1.5 - -1.25; 3.25 - 6
idle,0.2311568,0.06580322,1.57672,0.0005531011,3.260417E+12,0.2195987
-1.5,0,0,0,0,0,0
-1.25,0,0,0,0,0,0
-1,0.1968537,0.06040405,5.746554,0.03304507,2.077539E+13,0.187011
-0.75,0.1930701,0.07494506,2.899907,0.007002674,1.137434E+13,0.1834166
-0.5,0.5213834,0.1307903,5.15753,0.01752782,1.968342E+13,0.4953142
-0.25,0.8236781,0.1857997,8.30414,0.02386856,1.933813E+13,0.7824941
0,1.078666,0.1541283,8.331351,0.02075658,1.713567E+13,1.024733
0.25,1.767643,0.1910141,9.857034,0.01829969,2.435022E+13,1.679261
0.5,2.494093,0.2603717,12.36965,0.03831597,3.629912E+13,2.369388
0.75,3.85773,0.4649452,25.95141,0.1305431,6.79121E+13,3.664844
1,6.102762,0.7786441,46.99697,0.2287794,1.022273E+14,5.797623
1.25,10.26341,1.321729,101.1859,0.3713556,1.602917E+14,9.750237
1.5,13.74077,1.955556,169.1437,0.5279462,2.559291E+14,13.05373
1.75,14.35727,2.592299,221.4526,0.8213891,3.838289E+14,13.63941
2,16.96906,3.493875,328.9751,1.21975,6.99455E+14,16.1206
2.25,19.37725,3.967094,467.4081,2.652949,1.071518E+15,18.40839
2.5,22.78092,7.104819,1068.183,3.925668,1.288203E+15,21.64187
2.75,25.44913,8.668326,1614.103,3.719576,1.454951E+15,24.17667
3,24.04244,13.18394,2765.932,3.426118,1.709202E+15,22.84032
3.25,26.04598,14.2826,2996.426,3.711627,1.851635E+15,24.74368
3.5,28.04951,15.38126,3226.921,3.997137,1.994069E+15,26.64704
3.75,30.05305,16.47993,3457.415,4.282647,2.136502E+15,28.5504
4,32.05659,17.57859,3687.909,4.568157,2.278936E+15,30.45376
4.25,34.06012,18.67725,3918.404,4.853666,2.421369E+15,32.35712
4.5,36.06366,19.77591,4148.898,5.139176,2.563803E+15,34.26048
4.75,38.0672,20.87457,4379.392,5.424685,2.706236E+15,36.16384
5,40.07073,21.97323,4609.886,5.710195,2.84867E+15,38.0672
5.25,42.07427,23.07189,4840.38,5.995705,2.991103E+15,39.97055
5.5,44.0778,24.17056,5070.875,6.281214,3.133536E+15,41.87391
5.75,46.08134,25.26922,5301.369,6.566724,3.27597E+15,43.77727
6,48.08488,26.36788,5531.863,6.852233,3.418403E+15,45.68063
